Incident Type,Location,Summary,Timestamp,Price Category,Latitude,Longitude
Petty Theft ‐ Bicycle,Scholars Dr North,"Secured bicycle stolen, loss $700.00",2022-10-09 23:00:00,Expensive,32.8842874,-117.2424066
Petty Theft ‐ Bicycle,Mesa Nueva,"Secured bicycle stolen, loss $700.00",2022-10-10 10:25:00,Expensive,32.8756502,-117.2224578
Petty Theft ‐ Bicycle,Foodworx Dining Room,"Secured bicycle stolen, loss $300.00",2022-10-10 11:10:00,Expensive,32.878797,-117.230439
Petty Theft,Price Center West,"Stolen unattended skateboard, loss $165.00",2022-10-10 15:50:00,Expensive,32.8794123,-117.2368497
Petty Theft,Trolley ‐ Central Campus Stop,Bike caser trying to cut lock on electric scooter,2022-10-11 12:07:00,Low,,
Petty Theft ‐ Bicycle,Center Hall,"Secured bicycle stolen, lost $350.00",2022-10-11 14:14:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Bicycle,Tenaya Hall,"Stolen secured bicycle, loss $301.00",2022-10-11 14:00:00,Expensive,32.8794203,-117.2428555
Petty Theft ‐ Bicycle,Stein Clinical Research Bldg.,"Secured stolen bicycle, loss $801.00",2022-10-03 14:00:00,Expensive,32.8968497,-117.2424287
Grand Theft,Tioga Hall,"Secured electric bicycle stolen, loss $1,500.00",2022-10-12 11:30:00,Low,32.8790439,-117.2433669
Petty Theft of Micro Mobility Device,Seventh College,"Secured electric scooter stolen, loss $750.00",2022-10-13 18:00:00,Expensive,32.8879708,-117.2421264
Grand Theft of Micro Mobility Device,Seventh College,"Secured electric bicycle stolen, loss $1,200.00",2022-10-13 17:00:00,Low,32.8879708,-117.2421264
Petty Theft,Library Walk,"Secured bicycle stolen, loss $300.00",2022-10-13 23:10:00,Expensive,32.8787741,-117.2375612
Petty Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $300.00",2022-10-13 18:00:00,Expensive,32.8648237,-117.2364128
Grand Theft of Micro Mobility Device,Scholars Dr South,"Secured electric bicycle stolen, loss $950.00",2022-10-14 15:30:00,Expensive,32.8842874,-117.2424066
Grand Theft of Micro Mobility Device,UCSD Central Campus Bus,"Secured electric bicycle stolen, loss $400.00",2022-10-15 21:05:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Main Gym,"Electric bicycle, loss $899.00",2022-10-15 12:30:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Gilman Parking Structure,"Electronic scooter, Loss $600.00",2022-10-17 15:00:00,Expensive,32.8773774,-117.2338526
Petty Theft ‐ Micro Mobility Device,Design & Innovation Bldg ‐ Bike Racks,"Electric scooter, $850.00",2022-10-17 18:35:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,RIMAC,"Electric scooter, loss $689.00",2022-10-17 22:30:00,Expensive,32.8851041,-117.2404977
Petty Theft ‐ Micro Mobility Device,Center Hall,"Electric scooter, Loss $387.87",2022-10-18 09:20:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Stop,"Electric scooter, loss $599.99",2022-10-19 20:10:00,Expensive,,
Petty Theft of Motor Vehicle Theft,Seventh College East,"Secured electric scooter stolen, loss $600.00",2022-10-23 22:15:00,Expensive,32.8886055,-117.2422681
